qid,question,answer,match1,num_evidence,num_gt_img,gt_img_idx,gt_steps,traj_id,match2,match3,match4,match_sum
floorplan218_18_800_1746997071_q23,Where did you move the Box from the CoffeeTable?,['SideTable'],1.0,2,4,"[458, 459, 497, 498]","[353, 382]",floorplan218_18_800_1746997071,0.0,0.0,0.0,1.0
floorplan202_18_450_1744426417_q29,Where did you move the Statue from the SideTable?,['CoffeeTable'],0.0,2,4,"[247, 248, 273, 274]","[169, 187]",floorplan202_18_450_1744426417,1.0,0.0,0.0,1.0
floorplan213_26_838_1747110471_q17,Is KeyChain on the DiningTable?,['No'],1.0,2,2,"[199, 1099]","[145, 800]",floorplan213_26_838_1747110471,1.0,1.0,1.0,3.0
floorplan215_22_754_1746884994_q3,Is KeyChain on the CoffeeTable?,['No'],1.0,2,2,"[1, 999]","[0, 753]",floorplan215_22_754_1746884994,1.0,1.0,1.0,3.0
floorplan218_11_719_1745311812_q14,Where was CellPhone before you put it to SideTable?,['DiningTable'],0.0,2,4,"[905, 906, 932, 933]","[701, 718]",floorplan218_11_719_1745311812,1.0,0.0,0.0,1.0
floorplan201_19_686_1746847543_q37,How many times did you move Newspaper?,[2],1.0,2,4,"[570, 571, 907, 908]","[418, 673]",floorplan201_19_686_1746847543,0.0,0.0,0.0,1.0
floorplan323_15_654_1745056238_q10,Where was Bowl before you put it to Desk?,['SideTable'],1.0,2,4,"[723, 724, 760, 761]","[568, 595]",floorplan323_15_654_1745056238,1.0,0.0,0.0,2.0
floorplan220_14_459_1745999102_q5,Is KeyChain on the ArmChair?,['No'],1.0,2,2,"[1, 577]","[0, 420]",floorplan220_14_459_1745999102,1.0,1.0,1.0,3.0
floorplan209_25_782_1747045307_q5,Is CreditCard on the ArmChair?,['No'],1.0,2,2,"[95, 1000]","[77, 723]",floorplan209_25_782_1747045307,0.0,1.0,1.0,2.0
floorplan215_15_472_1746024565_q32,Where did you move the KeyChain from the Sofa?,['SideTable'],1.0,2,4,"[494, 495, 508, 509]","[357, 367]",floorplan215_15_472_1746024565,1.0,0.0,1.0,2.0
floorplan213_19_605_1747098042_q20,Is RemoteControl on the DiningTable?,['No'],1.0,2,2,"[1, 677]","[0, 503]",floorplan213_19_605_1747098042,1.0,1.0,1.0,3.0
floorplan212_18_424_1745965456_q22,Is KeyChain on the Shelf?,['No'],1.0,2,2,"[265, 623]","[179, 423]",floorplan212_18_424_1745965456,1.0,1.0,1.0,3.0
floorplan204_19_719_1746845878_q30,Where did you move the KeyChain from the Desk?,['Shelf'],1.0,2,4,"[666, 667, 700, 701]","[493, 517]",floorplan204_19_719_1746845878,0.0,1.0,1.0,2.0
floorplan221_25_720_1746886407_q6,Is CreditCard on the CoffeeTable?,['No'],0.0,2,2,"[254, 1022]","[178, 719]",floorplan221_25_720_1746886407,0.0,1.0,0.0,1.0
floorplan215_14_422_1746006324_q6,Where was Watch before you put it to Shelf?,['SideTable'],0.0,2,4,"[280, 281, 298, 299]","[201, 213]",floorplan215_14_422_1746006324,1.0,0.0,1.0,1.0
floorplan301_25_421_1744331002_q11,Is Pen on the Dresser?,['No'],1.0,2,2,"[328, 427]","[217, 277]",floorplan301_25_421_1744331002,0.0,1.0,1.0,2.0
floorplan230_11_508_1745981974_q5,Where did you move the TissueBox from the CoffeeTable?,['DiningTable'],0.0,2,4,"[77, 78, 115, 116]","[60, 92]",floorplan230_11_508_1745981974,0.0,1.0,0.0,1.0
floorplan216_20_416_1746045195_q10,Is KeyChain on the Sofa?,['No'],1.0,2,2,"[61, 547]","[39, 377]",floorplan216_20_416_1746045195,0.0,1.0,0.0,2.0
floorplan7_13_494_1744636544_q12,Where did you move the Book from the Shelf?,['CounterTop'],0.0,2,4,"[45, 46, 91, 92]","[32, 70]",floorplan7_13_494_1744636544,0.0,1.0,0.0,1.0
floorplan323_19_730_1746848930_q14,How many times did you move KeyChain?,[6],0.0,6,12,"[37, 38, 159, 160, 211, 212, 605, 606, 654, 655, 815, 816]","[32, 128, 167, 462, 496, 616]",floorplan323_19_730_1746848930,0.0,0.0,0.0,0.0
floorplan229_24_796_1747031486_q15,Is CellPhone on the ArmChair?,['No'],0.0,2,2,"[906, 1028]","[666, 753]",floorplan229_24_796_1747031486,0.0,1.0,0.0,1.0
floorplan212_24_603_1745121556_q35,Is Pen on the CoffeeTable?,['No'],1.0,2,2,"[1, 845]","[0, 572]",floorplan212_24_603_1745121556,1.0,1.0,0.0,3.0
floorplan218_13_551_1746888708_q12,Is Statue on the DiningTable?,['No'],0.0,2,2,"[235, 757]","[173, 550]",floorplan218_13_551_1746888708,0.0,1.0,0.0,1.0
floorplan215_22_754_1746884994_q20,Is Watch on the SideTable?,['No'],1.0,2,2,"[265, 963]","[204, 726]",floorplan215_22_754_1746884994,0.0,1.0,0.0,2.0
floorplan305_30_633_1745061112_q19,Where did you move the Pen from the Dresser?,['Desk'],0.0,2,4,"[253, 254, 275, 276]","[167, 183]",floorplan305_30_633_1745061112,1.0,1.0,0.0,2.0
floorplan323_16_700_1746801654_q10,How many times did you move Pencil?,[5],0.0,5,10,"[34, 35, 160, 161, 289, 290, 405, 406, 803, 804]","[26, 120, 219, 307, 604]",floorplan323_16_700_1746801654,0.0,1.0,0.0,1.0
floorplan311_13_434_1746113811_q25,Where did you move the Laptop from the Bed?,['DiningTable'],0.0,2,4,"[262, 263, 291, 292]","[195, 212]",floorplan311_13_434_1746113811,1.0,1.0,0.0,2.0
floorplan211_32_837_1747094325_q15,How many times did you move CellPhone?,[6],0.0,6,12,"[65, 66, 436, 437, 563, 564, 754, 755, 794, 795, 949, 950]","[46, 297, 386, 517, 542, 647]",floorplan211_32_837_1747094325,0.0,0.0,0.0,0.0
floorplan229_29_836_1747014376_q47,How many times did you move Pen?,[2],0.0,2,4,"[625, 626, 1107, 1108]","[451, 794]",floorplan229_29_836_1747014376,0.0,1.0,0.0,1.0
