qid,question,answer,match1,num_evidence,num_gt_img,gt_img_idx,gt_steps,traj_id,match2,match3,match4,match_sum
floorplan209_21_641_1746939338_q39,Where is Statue now?,['Dresser'],1.0,1,1,[785],[562],floorplan209_21_641_1746939338,0.0,0.0,0.0,1.0
floorplan230_11_503_1746036310_q26,Where is CreditCard now?,['SideTable'],1.0,1,1,[653],[465],floorplan230_11_503_1746036310,1.0,1.0,1.0,3.0
floorplan213_19_711_1746891979_q16,What objects are on the DiningTable?,"['Box', 'RemoteControl', 'Watch', 'KeyChain']",0.5,1,1,[911],[679],floorplan213_19_711_1746891979,0.25,0.0,0.5,0.75
floorplan213_14_436_1746025566_q9,What objects are on the SideTable?,"['Statue', 'Watch', 'KeyChain']",0.6666666666666666,1,1,[275],[197],floorplan213_14_436_1746025566,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.3333333333333333
floorplan213_26_838_1747110471_q2,Was Box open?,['Yes'],1.0,1,1,[1149],[837],floorplan213_26_838_1747110471,1.0,1.0,1.0,3.0
floorplan211_26_726_1746786652_q42,Where is Pillow now?,['ArmChair'],0.0,1,1,[978],[691],floorplan211_26_726_1746786652,1.0,0.0,1.0,1.0
floorplan223_26_749_1746930005_q1,Have you seen a GarbageCan?,['Yes'],1.0,1,1,[267],[190],floorplan223_26_749_1746930005,1.0,1.0,1.0,3.0
floorplan210_15_464_1744755675_q9,What objects are on the Ottoman?,"['Box', 'KeyChain']",0.5,1,1,[526],[375],floorplan210_15_464_1744755675,0.5,0.0,0.5,1.0
floorplan229_22_756_1746788037_q22,What objects are on the Dresser?,"['Television', 'Statue', 'KeyChain', 'Pen', 'Book']",0.4,1,1,[270],[200],floorplan229_22_756_1746788037,0.0,0.4,0.4,0.8
floorplan22_24_419_1745155479_q10,Is Fork on the CounterTop?,['Yes'],0.0,1,1,[566],[360],floorplan22_24_419_1745155479,0.0,1.0,0.0,1.0
floorplan212_24_603_1745121556_q24,What objects are on the Drawer?,"['Pencil', 'KeyChain']",0.5,1,1,[819],[555],floorplan212_24_603_1745121556,0.0,1.0,0.5,1.5
floorplan221_16_442_1744749839_q17,Is RemoteControl on the DiningTable?,['Yes'],1.0,1,1,[351],[249],floorplan221_16_442_1744749839,1.0,1.0,1.0,3.0
floorplan230_12_473_1745431565_q5,Is CreditCard on the SideTable?,['Yes'],1.0,1,1,[531],[369],floorplan230_12_473_1745431565,1.0,1.0,1.0,3.0
floorplan230_17_831_1747084973_q32,Where is Candle now?,['CoffeeTable'],0.0,1,1,[1119],[830],floorplan230_17_831_1747084973,1.0,1.0,1.0,2.0
floorplan218_10_556_1745368595_q32,Is Statue in the Dresser?,['Yes'],0.0,1,1,[645],[476],floorplan218_10_556_1745368595,1.0,1.0,1.0,2.0
